,Body,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10,pcode1,pcode2,pcode3,pcode4,pcode5,pcode6,pcode7,pcode8,pcode9,pcode10
852,who and how to hire there is so much unfilled headcount standing in the way of us realizing our priorities,2,4,,,,,,,,,2,,,,,,,,,
853,more options for non people leader progression,3,70,,,,,,,,,3,70,,,,,,,,
854,as i m new much of my time spent is in degreed and learning pathways these are very valuable and offer much insight i ve also been asking many seasoned staff about what i should focus on during my first year and many have said to not worry about tools and technology so much and offered advice to get to know people and build relationships even ones outside of my department i ve been doing that spending time in both degreed and meeting with people which i ve been thoroughly enjoying however i ve heard from many people who say that after about a year they don t have any time for things like that i wonder if there s a way to encourage and promote people to carve out margin in their schedules so that they don t lose the ability for things like this once people get overwhelmed with the work,6,,,,,,,,,,6,,,,,,,,,
855,who works on what both from a project level perspective but also among departments role clarity,52,,,,,,,,,,52,,,,,,,,,
856,we are growing too fast and at times it feels uncontrollably this is putting a lot of stress in the workforce and families,13,54,,,,,,,,,13,54,,,,,,,,
857,decisions where there is clear dissent we need to get better at making the decision and moving on rather than dwelling on those that may not agree,12,,,,,,,,,,,,,,,,,,,
858,planning for international growth,54,,,,,,,,,,54,,,,,,,,,
859,having worked outside of chick fil a for many years i believe an area that can be improved upon here is with expectation setting and accountability there is a growing perceptions and sense of entitlement being observed within the operator community that is leading to concerning expectations on how the support center is expected to support them further when operators cross lines where they treat staff with a lack of honor dignity and respect they are not held accountable on the flip side when there is a perceived deficiency in the level of service from the support center to operators example answering phones returning call the issue is not addressed at the root cause instead a broad brush is used to suggest all staff is a fault and that we should all strive to do better my encouragement to our leadership is to not have fear in setting appropriate and clear expectations then being fair and reasonable yet judicious in holding people accountable to those expectations,12,53,,,,,,,,,53,,,,,,,,,
860,drawing the line between helping operators and enabling bad behaviors operators using the excuse that they do not need to do x because they are a cfa operator and above said task,53,,,,,,,,,,53,,,,,,,,,
861,operator selection there seems to be an overwhelming amount of entitlement in many of the operators we select currently especially the young ones some of the stories floating around and witnessed of how operators treat view staff are appalling but this message never gets told instead its always about what staff need to do better the majority of staff i know work their fingers raw for this brand and every year we hear the same thing you need to do better it s disheartening that nobody leans into the other side of this equation,53,,,,,,,,,,53,,,,,,,,,
862,job growth discussions are difficult especially for my people leader who has the best intentions for me which i absolutely believe those intentions but understanding what i need to do next is very difficult to understand,54,,,,,,,,,,54,70,,,,,,,,
863,decisions that cross over multiple departments or even multiple businesses sometimes decision makers are unaware of the bigger picture and needs to execute,52,,,,,,,,,,52,,,,,,,,,
864,promotion process,3,,,,,,,,,,3,,,,,,,,,
865,in an effort to please all angles of political arguments cfa has really leaned into the woke corporate culture at a detriment to its most loyal raving fans i m concerned about the direction we as a brand are moving in,7,,,,,,,,,,7,,,,,,,,,
866,allocating enough resources to implement and complete departmental reorganizations,52,,,,,,,,,,52,,,,,,,,,
867,the corprorate adiminstartive culture fight change and does not share information or knowedge,7,,,,,,,,,,7,,,,,,,,,
868,what the shifting of complexity from restaurants to staff will impact,53,,,,,,,,,,53,,,,,,,,,
869,decisions involving leadership changes could be communicated sooner,8,70,,,,,,,,,70,,,,,,,,,
870,understanding the impact of new initiatives on various teams e g the roll out of new complex initiatives weighs down teams that are already at full capacity often the teams that are impacted have no input or say into the decisions but have to take on the additional work regardless,54,,,,,,,,,,,,,,,,,,,
871,leadership promotion not everyone is fit to lead a team there needs to be a balance between people interpersonal skills and technical skills having too much of one or the other does not a great leader make how can one make decisions and attempt to advocate on my behalf if they don t truly understand my work,3,70,,,,,,,,,3,70,,,,,,,,
872,de i in hiring promotions it is very obvious that de i has not been top of mind for the past few years within cfa even after this last year i do not see things changing right away tax leadership is often silent when it comes to de i discussions it is also discouraging to look at the org chart for tax leadership,3,69,70,,,,,,,,3,70,,,,,,,,
873,take a good look at leadership and why there is no color diversity in some areas of the company,69,70,,,,,,,,,70,,,,,,,,,
874,improving on having quicker hiring process and work with contractors to be more valuable,13,,,,,,,,,,13,,,,,,,,,
875,chick fil a needs to improve upon the make up of middle management and other top leaders,70,,,,,,,,,,70,,,,,,,,,
876,diversity of thought when selecting leaders too often people with the strongest technical background are selected as leaders these individuals sometimes do not have the soft skills to be a leader or ever develop into an effective one,69,70,,,,,,,,,70,,,,,,,,,
877,the operator model needs to adapt and change to the increasing complexity of the business and resource constraint what truett envisioned service to operators to be in the s is not the same as it is in the operators are leading multi million businesses with team members they can handle some of the business non chicken requirements of the business like various accounting services,53,,,,,,,,,,53,,,,,,,,,
878,reorganization decisions i think reorganizations happen way to often and it s a culture killer when you have to learn and build a relationship with a new leader every couple of years,7,,,,,,,,,,,,,,,,,,,
879,decisions that must have input from a variety of people these are done too slowly,13,,,,,,,,,,13,,,,,,,,,
880,promotion for lower levels trust people leaders waste of resources to convince total rewards total rewards not consistent in talk versus action for example skipping levels inconsistent levels between departments inconsistent application of level requirements,3,,,,,,,,,,3,70,,,,,,,,
881,sometimes decisions that help operators and restaurants are made very quickly and those supporting the work are left to figure it out in a tight timeframe,13,53,,,,,,,,,53,,,,,,,,,
882,contractual agreements speed from creation to execution,13,,,,,,,,,,13,,,,,,,,,
883,hiring individuals that specialize in the new works we re rolling out as opposed to just shifting those that are already on staff based on the fact that they know the culture of cfa,2,7,,,,,,,,,2,,,,,,,,,
884,my department is lacking in strong leadership and direction there is so much work to be done that my people leader seems stuck and is too busy working on the work instead of leading me and my team mates to accomplish the work,52,70,,,,,,,,,52,70,,,,,,,,
885,i think we could also stand to improve decisions around headcount i know we re doing our best to optimize what we have and improve systems so we don t need as many people but some departments are drowning in work and utilizing contractors instead of staff that has to be expensive plus it s on work that doesn t go away it seems as if there is more attention paid to those departments that directly support operators which i do understand however if we keep growing those groups and not the staff that support all of us then we re still in a deficit,2,53,,,,,,,,,2,52,,,,,,,,
886,slow on implementing needs on corporate side,13,,,,,,,,,,13,,,,,,,,,
887,continuing to engage talent on a personal level as we get bigger,2,,,,,,,,,,2,,,,,,,,,
888,we need to have a framework for reference for cross functional work that is not project based with a lead facilitator to provide clarity as to who has the d when questions issues come up and what are there qualifications that would align the d to a certain level of leadership we currently have a culture of consensus and cfa nice where staff tend to hesitate to step out and call the d,7,,,,,,,,,,,,,,,,,,,
889,job levels in the most recent re org i noticed employee a left a role at one level and employee b was promoted to that specific role but leveled beneath where employee a had been same job different level this type of thing erodes the trust staff has placed in the talent management system we were told job levels were to be determined entirely by the job itself rather than the person but in practice that is not true,2,,,,,,,,,,2,,,,,,,,,
890,decisions where there isn t a single person group accountable i e staff headcount,2,,,,,,,,,,2,,,,,,,,,
891,what does stewardship look like from an accountability perspective we all want to be good stewards of what s been entrusted to us but we have different ideas for what that looks like because accountability at an enterprise level is not clear,12,,,,,,,,,,,,,,,,,,,
892,contractor involvement ex when a contractor can can t be included culturally it is difficult to not treat them as all other staff,7,,,,,,,,,,,,,,,,,,,
893,improve hiring practice at a faster pace,3,,,,,,,,,,13,,,,,,,,,
894,expanding too much too fast,54,,,,,,,,,,13,,,,,,,,,
895,promotions decisions are not consistent and take too long,3,,,,,,,,,,3,,,,,,,,,
896,growth how can we scale properly for growth across the business in every area,54,,,,,,,,,,54,,,,,,,,,
897,hiring staff faster it takes an act of congress to even get staff approved i can appreciate that lean mentality to prevent unnecessary hires but there are so many interviewers involved it takes forever to get the position filled talent is struggling to catch up from covid they need help to get staffing needs filled,2,13,,,,,,,,,2,,,,,,,,,
898,decisions regarding the titling structure and levels there is much confusion surrounding promotion and moving to the next level,3,,,,,,,,,,3,,,,,,,,,
899,decisions made around communication to be sent out communication gets scrutinized vigorously and at several levels of the hierarchy,8,,,,,,,,,,,,,,,,,,,
900,decisions that are highly cross functional is another area where improvement is needed this is a difficult area since it may impact many areas which can create slow down and many different opinions,13,,,,,,,,,,13,,,,,,,,,
901,jccc is such an incredible benefit to employees and i know that it is one of the biggest pulls for talent recruiting at cfa however now that we are finally being given the option to work from home for a majority of the time and avoid horrible traffic and a long commute yay many of us would prefer a childcare stipend to put our children in a daycare that is close to our home this would avoid us having our children in the car for hours every single day to get them to from daycare and would allow parents to actually take advantage of the wfh opportunity,2,,,,,,,,,,2,,,,,,,,,
902,technology decision to provide necessary technology for returning to the support center such as double monitors and video conferencing in all meeting rooms,6,,,,,,,,,,6,,,,,,,,,
903,cfa needs to cast vision and inspire throughout all levels of leadership,70,,,,,,,,,,70,,,,,,,,,
904,people hiring the hiring process is so long that we have open positions to fill for months on end this adds to the workload of everyone else on the job and can lead to burnout if adequate resources were invested in the hiring process for each individual we could move through the stages much faster,13,,,,,,,,,,13,,,,,,,,,
905,tension between rapid scrappy tools and ability to scale and automate neither is bad on it s own but we sometimes act like there aren t tensions and tradeoffs to be made which do we want what tradeoffs are we willing to accept because of that for example if we want speed and scrappy tools for a new entity we ll need more headcount because those tools are manual and take man hours to support if we want ability to build a system or tool or process that scales with a large multi national enterprise we need to trust those closest to the work to estimate the resources and timeline options available,2,13,,,,,,,,,2,,,,,,,,,
906,chick fil a should expand the enterprise innovation team so that all departments at the support center are focused on building a culture of innovation an innovation process will help us execute business decisions faster and more efficiently a culture of innovation will help us see where the puck needs to go how guests want to be served conveniently quickly and safely rather than where the puck is going not letting the qsr industry show where the puck is going,7,13,52,,,,,,,,,,,,,,,,,
907,go all in with data adoption and tech resources it has seemingly taken too long to begin to heavily incorporate data into out decision making and into operators hands,53,,,,,,,,,,53,,,,,,,,,
908,making changes in leadership for the sake of making decisions because someone is good at their job doesn t automatically mean they will be a good leader these decisions need to be intentional and leadership development needs to be required internal and external,70,,,,,,,,,,70,,,,,,,,,
909,continue to improve operator selection to continue finding potential operator with appropriate business acumen to run increasingly fast paced complex and rapidly growing businesses currently i think we do a great job with selection yet there s opportunity to raise the bar with the business acumen we expect for successful operators without sacrificing the critical focus on character and cultural fit,7,53,54,,,,,,,,13,53,54,,,,,,,
910,posting new jobs after headcount approval,2,,,,,,,,,,2,,,,,,,,,
911,it sometimes feels as if promotions of some are rushed while others may be overlooked maybe this is a misevaluation of talent i ve seen this happen some in my area where some people seem to be on a fast track even if they show signs of not being prepared or not able to handle the extra responsibilities while others are not even given opportunities for growth,2,3,13,54,,,,,,,2,3,54,,,,,,,
912,brand expansion decisions more so speed than quality of decision,13,,,,,,,,,,13,,,,,,,,,
913,talent hiring decisions cfa inc is growing at an unbelievable rate and sometimes it feels as though arduous talent processes slow down hiring recruiting decisions which puts a strain on teams that need more people,2,13,54,,,,,,,,2,54,,,,,,,,
914,promotion process career paths long term internal moves,3,,,,,,,,,,3,,,,,,,,,
915,while i am encouraged by the changes that have been made we still have some work to do with diversity in the organization with the recent restructure i was hoping to see the promotion of an african american female into a vp position there are currently no black women at that level though we have several at the executive director level,3,69,,,,,,,,,,,,,,,,,,
916,transparency in advancement promotion decision making,3,,,,,,,,,,3,,,,,,,,,
917,i have witnessed my department struggle making good decisions regarding mid level leadership promoting tenure over talent and putting the careers of young talent in the hands of questionable leaders,2,3,52,70,,,,,,,2,52,70,,,,,,,
918,growth at times has felt prioritized over doing the job well from a staff perspective new innovations don t always seem to have the proper amount of staffing and they don t always align with operator interests i understand getting ahead of the curve but i don t think our competitors will be anywhere near the curve with the staffing issues,2,4,54,,,,,,,,53,54,,,,,,,,
919,in our group we often spend way too much time adding ad hoc work that distracts from the main plan it s important work but it obviously wasn t important enough to make it into the plan it s when we add all this other work that we lack the focus needed to drive the core business plan items for our individual group forward with the needed speed,13,,,,,,,,,,13,,,,,,,,,
920,people leader budgets the autonomy to surprise and delight team members,53,,,,,,,,,,53,,,,,,,,,
921,with other companies moving towards more flexible working options i believe we are losing top tier talent that otherwise would choose to work for us if we had more flexible wfh options i understand that there is a need for employees to be in person for certain events but having employees that live out of state for legit reasons and then requiring that they pay their own way for travel seems a little crazy at the end of the day we should want the most qualified candidate in our roles and i believe a more flexible wfh policy could help achieve gaining retaining great talent,2,,,,,,,,,,2,,,,,,,,,
922,accurate level of placement when hiring and or promoting example if someone applies for a position but they are more qualified to be in a different level then they should be interviewed hired for the level they qualify for also if they are hired into a level that they are overqualified for and should have been one level higher they should have the option of skipping a promotion level to get to the right placement,3,,,,,,,,,,3,,,,,,,,,
923,there is so little clarity on what is required of this halted osha mandate if someone refuses to get vaccinated get tested or wear a mask do they just work virtually until the environment becomes inclusive again or will they be fired if the latter is cfa willing to lose a large group of people just because those employees decide to stand up to discrimination,12,69,,,,,,,,,,,,,,,,,,
924,it seems like some decisions are made very slowly for example i heard from many operators at rpms how much better it would be if their team could be paid weekly especially considering the talent shortage crisis that many are struggling with it sounded like it will be at least years before this will be an option why can t we prioritize this more when it would be such a huge win for our restaurants,2,13,53,,,,,,,,53,,,,,,,,,
925,ones that impact multiple departments often times too many opinions impact the speed at which a decision can be made,13,52,,,,,,,,,52,,,,,,,,,
926,people people decisions in promotions and in internal moves,3,,,,,,,,,,3,,,,,,,,,
927,there are a lot of moving areas in the business right now and as much as i love the atrium talks to get updates i feel like there are a lot of questions that go unanswered i know not all questions can be answered during the live atrium talk but a follow up would be greatly appreciated i feel that this would make people feel heard and understood and provide more clarity,12,,,,,,,,,,,,,,,,,,,
928,clarity on expectations and priorities of the core business compared to strategic bets if we had clarity sooner on priorities we could circle back with leaders and resource better to meet those expectations but currently we are struggling to meet all the expectations and pulls from so many strategic bets initiatives and our own improvement processes work for example it was originally shared from the ec that individual teams will not be impacted by int l and they were funding that work outside core dept big move work but the reality is many teams have had to hire people within their teams to keep up with the demand for int l with very little strategy shared and lots of wasted time with lack of communication on decisions and what decisions mean or after a decision was made individual teams had to make a lot of changes to meet that decision expectation causing lots of stress and misaligned priorities for cross functional work often times it s the same teams trying to meet needs of little blue menu international other concepts initiatives but there isn t clarity of which one of those should be prioritized first int l work or lbm or supply chain strategic bets or our own dept work it s very hard,4,8,12,,,,,,,,,,,,,,,,,
929,decisions on promotions need to be better explained i am unclear as to why some people get promoted quickly and others don t,3,12,13,,,,,,,,3,13,,,,,,,,
930,i think the new talent management system tms has done some good things but there is no denying that it has absolutely changed the dynamic and culture of our work environment one downside is that i feel it encourages unhealthy individualism instead of organizational and team spirit more and more it seems like i bump into staff who i can tell are just in this for themselves it has been a little disheartening on the plus side i like that we have more internal opportunity but the new tms model in conjunction with that opportunity has led to rewarding incentivizing the wrong thing in my opinion for example as a staff member reaches level they stand to gain more financially by seeking a new role than they do to excel in their current role what is the impact of that to the team and the organization,2,3,7,,,,,,,,2,,,,,,,,,
931,instituting some sort of project management methodology into critical projects to ensure goals scope of work project teams project milestones etc are carefully and clearly defined and that voice of customer whoever customers may be is taken into account and is the primary input for solution development let s not assume internally what solutions restaurants want,12,53,,,,,,,,,53,,,,,,,,,
932,identification and mitigation of culture risks,7,,,,,,,,,,7,,,,,,,,,
933,decisions related to investment in talent at lower levels feels like nearly all intentional movement of people is done at director level or above michael lage khalilah c etc this is very troubling when the future resides below those levels and needs to be invested in by way of tours in different departments etc a more intensive effort needs to be taken to identify future leaders how to best give them differing experiences across the business,2,,,,,,,,,,2,,,,,,,,,
934,style versus substance we ve become obsessed with style it s not enough to have a strategy or idea it must be packaged with a hype video or world class presentation we need to focus more on results and execution too many consultants running around buffington road,4,,,,,,,,,,,,,,,,,,,
935,greater willingness to stop work that s not a priority,4,,,,,,,,,,,,,,,,,,,
936,identifying effective leaders managers within the company,70,,,,,,,,,,70,,,,,,,,,
937,recognizing that culture can be maintained via virtual environment allowing staff to work from home even more reducing the days month required to be in the office,7,,,,,,,,,,7,,,,,,,,,
938,i have been told that operators receive a million emails daily so they may over look emails about certain items everyone feels their area is most important and i understand that but communication should be streamlined so that no emails or communication is over looked,8,53,,,,,,,,,53,,,,,,,,,
939,allocating the right amount of talent to different areas of the business,2,,,,,,,,,,2,,,,,,,,,
940,aligning product quality to customer preference and across groups menu quality restaurant,53,,,,,,,,,,53,,,,,,,,,
941,keeping the chick fil a culture but allowing some flexibility in some areas like facial hair it took so long to make the decision on facial hair to go along with this dressed up jeans on fridays would be awesome at the office,7,,,,,,,,,,7,,,,,,,,,
942,tours of duty for senior leadership just because someone is a good leader doesn t mean that they could should lead in areas that require industry knowledge,70,,,,,,,,,,70,,,,,,,,,
943,at times it feels like leadership isn t listening to the challenges we are facing and they push new and exciting things menu instead of focusing on the core menu items that we are better able to control,70,,,,,,,,,,70,,,,,,,,,
944,speed of overall decision making all too often a simple decision has to be approved or reviewed by multiple teams of people that just seem to cause bottlenecks to the process of servicing the business and operators,13,53,,,,,,,,,13,53,,,,,,,,
945,the work from home stance could be clearer we haven t heard anything on this in some time i feel like are we supposed to be coming back the days a month in january,12,,,,,,,,,,,,,,,,,,,
946,chick fil a seems to continue to prioritize new projects over core work they promote and elevate those working on new projects while those that are keeping the business going today while planning for the future seem to be left in the dust you have to focus on the future but you can t leave behind those who are working on the core business,4,,,,,,,,,,,,,,,,,,,
947,resistance to change that is disguised as climbing with confidence and care absolutely want to climb with confidence and care but need to be able to also make tough decisions that will make a difference quickly,13,,,,,,,,,,13,,,,,,,,,
948,we need to honor deadlines set to stop development on menu items and other projects as well and move forward quickly and efficiently without making additional changes that affect potential delivery dates,13,,,,,,,,,,13,,,,,,,,,
949,new menu or packaging decisions that don t free up capacity for operators or for supply chain there s a functional hierarchy and new menu objectives tend to get pushed through without consideration for other functions or operator efficiency,53,54,,,,,,,,,53,,,,,,,,,
950,technology resource selection,6,,,,,,,,,,6,,,,,,,,,
951,how quickly changes need to be made,13,,,,,,,,,,13,,,,,,,,,
952,leadership chick fil a does not prepare leaders for how to best lead people and how their work gets done we put people in leadership for a variety of reasons and many times they have not been given the tools guidance experience to truly lead a large team to productivity satisfaction empowerment maximum results etc our leaders are generally great people qualified and their intentions are all right and they have good ideas but there could be more support for them on processes customer oriented mindset strategy planning with data metrics as well as an understanding of workflow and decision frameworks to best empower enable their teams i also think there needs to be an opportunity for feedback loop in workday from their team members on improvement opportunities we are growing so fast we have talented people but we need to prepare our leaders for the workplace of the future we still operate using older more traditional work styles methods,13,54,70,,,,,,,,13,54,70,,,,,,,
953,still too much consensus driven decision making which also decreases productivity its ingrained in our culture hopefully we can begin to trust one another to make the appropriate decision at the lowest level possible,7,,,,,,,,,,7,,,,,,,,,
954,time to make decisions it sometimes takes too much time to make decisions risk we miss opportunities or bring them to life rather slowly drivers very consensus driven fragmented information systems so it takes a long time to gather information to support recommendations,13,,,,,,,,,,13,,,,,,,,,
955,work that has cross functional implications who has the d when project scope changes create impacts in supporting departments,52,,,,,,,,,,52,,,,,,,,,
956,how do we manage shifting talent performance over time especially in places where business may be outgrowing individuals in current role,2,3,,,,,,,,,2,,,,,,,,,
957,moving certain projects through faster,13,,,,,,,,,,13,,,,,,,,,
958,we need to figure out a way to help people understand the work of the different departments it would give others insight into the business and all the wonderful things we have to brag about e g the way we work to create win win partnerships with our suppliers it would help with cross departmental projects and better equip staff to assist direct operators team members,52,53,,,,,,,,,52,53,,,,,,,,
959,our current culture is encouraging micromanaging,7,,,,,,,,,,7,,,,,,,,,
960,processes for accomplishing work and gaining approval on work it can end up wasting significant amounts of time when processes are not clear overcomplicated or convoluted,12,,,,,,,,,,,,,,,,,,,
961,make a decision on how will cfa inc support entities and what that will look like operationally financially legal culture etc,7,,,,,,,,,,7,,,,,,,,,
962,decisions necessary to hold people or work accountable will probably always have some level of improvement needed the abundance of grace offered at chick fil a is admirable and i have certainly been a recipient in my career however challenges occur when grace turns into lack of accountability i have seen many times in my own department where an individual has been relocated to team after team in an attempt to address a problem but the problem is truly never addressed when this happens not only does the work suffer but team dynamics and individuals suffer as well when an issue continues for an extended period of time oe of the ripple affects is a perceived lack of support for those individuals picking up the slack or carrying the weight in the interim,3,,,,,,,,,,3,,,,,,,,,
963,i was really disappointed that the support center transformation work seemed to fall apart overall there is poor communication or lack of rationale for when something is abandoned or morphed into something different this isn t so much about the decision making process as it is about following a disciplined and transparent process of communicating clarifying the conditions that precede or serve as impetus for a decision then ensuring wide spread understanding of the solution then creating accountability for the studying of the effects of the solution decision and creating systems of improvement,8,,,,,,,,,,,,,,,,,,,
964,teaming approach we have too many leadership teams and cross functional teams some are completely necessary but too many teams are spun up and given the appearance of importance because such and such a leader has commissioned us to solve this issue,70,,,,,,,,,,70,,,,,,,,,
965,consistency of practice and accountability particularly in roles that are operator facing like ops leads it seems like different people in the job can do the same job dramatically different ways people definitely need freedom to create and tailor their roles but a complete lack of consistency and accountability becomes a massive problem this makes dealing with cfa much more unpredictable much slower more cumbersome and way more difficult than it has to be,13,53,,,,,,,,,13,53,,,,,,,,
966,we need to improve how decisions are made between agile teams and the bureaucratic parts of the business our leadership keeps pushing agile whether it fits or not they expect us to be agile but they do not use agile principles or the tools we are forced to use also the leadership of our dept does not create a leadership structure that supports agility this slows things way down when we have to have bureaucratic functional leaders interact with agile teams it is also hard to change things because each person on the agile team has a different leader so you have to get leaders to agree and then take it to our dept leader it is so slow also functional leaders hire for what they want on their functional team versus the skills the agile team needs to do its work,13,70,,,,,,,,,70,,,,,,,,,
967,cfa needs to decide if we are running an agile business or scaling agile there are so many departments doing some version of agile and that s great but it gets messy when there are so many versions also its really difficult to be on an agile team when the leaders of your department are working in an agile framework it makes things difficult when functional leaders and agile teams aren t aligned,52,,,,,,,,,,52,,,,,,,,,
968,the vision and strategy for career development is not clear leading me to believe their might not be one established which causes great concern people are looking for opportunities where they can grow there doesn t appear to be a well thought out avenue for that is there a strategy or vision for this perhaps it needs to be published,3,12,,,,,,,,,3,,,,,,,,,
969,functional department level decisions don t always level up to what we are saying are organizational priorities and tend to be what s trendy or what individual preferences are strategies often change too quickly usually based on re structures which then prompts working on a new strategy for the department and creates a cycle where the employees never really know what the goal is because it is changing yearly,4,13,52,,,,,,,,52,,,,,,,,,
970,tactical decisions the leaders i work with want to make decisions on all of the tactical operational decisions vs staying in strategic decisions that would impact the business years out,70,,,,,,,,,,70,,,,,,,,,
971,people decisions the same people the rock stars are promoted given stretch assignments assigned to strategic bets and cross functional teams with very little transparency or reasoning staff are left wondering about the process the procedural fairness and what feels like a secret closed door process amongst leaders and the talent consulting team what data is being used to inform these decisions aside from anecdotal data,2,,,,,,,,,,2,,,,,,,,,
972,supporting international growth it is currently painful to stand up new countries clear central decisions are hard to find and slow to materialize its not always clear if decisions about the timing of launch level of support menu equipment and supply differences fully consider the downstream implications to our content development it takes time to build translate and publish content to prepare for launch and it feels like a scramble every time,12,13,54,,,,,,,,13,54,,,,,,,,
973,group decisions at the department or sub department level can also be improved by not involving as many people and get hung up on everyones consensus however this still needs transparency and communication of a decision that was made or if there s time on the front end seek input from a wider audience but at least clearly communicate the specific people who will be deciding and when,8,12,52,,,,,,,,52,,,,,,,,,
974,work being done i don t understand why we have to ask permission to work on stuff when we have the capacity and the work needs to get done in the l d department work must be approved at the portfolio level and oftentimes the department work is not distributed in a balanced manor there are teams that are swamped and other teams that are not doing much work because the work is not approved it doesn t make sense the people doing the work should be able to just do the work,54,,,,,,,,,,52,,,,,,,,,
975,continue tearing down silos from my perspective each department continues to make their own decisions and frequently the work to make those decisions become reality falls on other teams who are also balancing other decisions for example the test and rollout calendar seems to have set dates before understanding the work of other departments to make those dates reality,52,,,,,,,,,,52,,,,,,,,,
976,decisions for social trends can be too conservative but getting better i e beards tattoos acceptable dress codes for restaurant and office attire,53,,,,,,,,,,53,,,,,,,,,
977,decisions in which puts more staff in the field more often operators need help labor wise and we as staff need to reconnect with operators in there space better understand new restaurant realities and based on and influence our teams work at the support center to better support operator needs,53,,,,,,,,,,53,,,,,,,,,
978,not decision making per say but change management when decisions are made especially at the department level and in communication between the support center and operators,8,52,53,,,,,,,,52,53,,,,,,,,
979,politics in l d especially it seems like it s a popularity contest they shut down people who share direct fair and honest opinions and feedback because it doesn t fit the mold i ve watched my mentors who are pioneers in the learning industry get shot down multiple times and it s incredibly discouraging it has made me not share honest feedback because i ve seen that every time that happens leadership will do the opposite of what people recommend i ve always thought that they had their reasons that i m just not seeing but now that i ve seen them use multiple people multiple times because those people are good at their jobs and then keep them stuck in their same positions with the only reason of you re the only one who knows the content is absurd to me they don t let their people grow because they don t hire people who actually learn their role so all the work that people don t know and can t aren t willing to do falls on the select few people who are actually wanting to work learn and grow it is baffling that l d leadership just ignores this issue and doesn t see it most of the extremely talented learning partners on the learning partner team have moved to different departments and l d leadership says it s because the l d department has helped them with their career goals but for many of them it s actually because the l d department leadership doesn t reward their good work by helping them move around within the l d department i would love for my career to grow in learning because that s what i want to do but if i want to grow and learn at chick fil a i m realizing that i will probably need to look outside of the l d department,3,,,,,,,,,,3,,,,,,,,,
980,we need to develop a language around priority level and business impact when making decisions at the moment it seems that all decisions especially those that may impact operators all carry the same level of priority an example is recent decisions around little blue menu that required resourcing or investment that have jumped ahead of or delayed decisions that affect much larger parts of the organization,4,53,,,,,,,,,53,,,,,,,,,
981,leaders need to be comfortable with decisions made by those empowered to and not backtrack with expectations that could derail progress made or change scope significantly,70,,,,,,,,,,70,,,,,,,,,
982,leadership succession lower than the ec level,70,,,,,,,,,,70,,,,,,,,,
983,reducing complexity in the restaurant i feel like this is talked about a lot but it does not feel like there s action behind it,53,,,,,,,,,,53,,,,,,,,,
984,what kind of company is cfa in the modern world how focused are we on keeping and recruiting new and young talent this can get difficult with more traditional ways of working how can we attract a diverse work force how would that diverse work force help support international growth,2,54,69,,,,,,,,2,,,,,,,,,
985,better talent selection of middle managers read the research at https hbr org the real value of middle managers the inspiring quote is the most effective ones are in possession of humane sophisticated communications skills and the knack to mediate and find common grounds between actors at different levels in the organization too many times middle managers simply say the exact same thing as executive leadership and do not do the best job of finding common ground between levels in the organization,2,,,,,,,,,,2,,,,,,,,,
986,amount of capital for reinvestments with our older restaurants can take longer than expected clear messaging to operators sooner than later is appreciated and needed even when it s a no share this sooner vs later to keep relationships strong,12,53,,,,,,,,,53,,,,,,,,,
987,org re org chart decisions while certainly an element of a growing business are still anxious seasons as staff sense or guess at what is to come some of the wonder and concern is valid while mostly it is conjecture that creates tension for awhile most staff have experienced these already however the looming of the next one can hover over staff trying to determine their own next career move trajectory sharing org decisions at the earliest and setting transition dates as soon as possible help rip the band aid off quickly,3,13,54,,,,,,,,13,54,,,,,,,,
988,staff does not know when operators are at the support center when operators are in classes graduating or on site for meetings staff especially new staff could not feel connected to the operators as we not making those connections staff may have no idea how many restaurants and where we are opening them up every thursday,53,,,,,,,,,,53,,,,,,,,,
989,too much time if focused on individual team restructures and department mission statements,52,,,,,,,,,,52,,,,,,,,,
990,the process and time for the new remote worker policy was interesting for months the question was asked in multiple staff meetings and seemingly ignored once an announcement was made it seems like there could have been more clarification we learned during the pandemic that we can all do the work we do successfully and not be tied to a specific location for myself i would dream about moving approx hours away to be able to serve my family better but don t have a reason since i m not married in a small way when the new policy was announced i felt that family and culture matters as long as it s in atlanta,7,,,,,,,,,,7,,,,,,,,,
991,staffing in how it relates to the work load quicker decisions on staffing needs for the business,2,13,,,,,,,,,2,,,,,,,,,
992,hiring decisions,2,,,,,,,,,,2,,,,,,,,,
993,align communication projects where staff are knowledgeable about the daily business,8,,,,,,,,,,,,,,,,,,,
994,the headcount approval process,2,,,,,,,,,,2,,,,,,,,,
995,utilizing staff in a more agile way seeing potential in poeple to serve in various area of the business and being able to quickly shifts goals based on business realities sometimes we get so married to an idea or goal the business operator s needs have shifted but we re so invested financially head count etc we keep going how might we equip staff members to be multi demensional similar to a tm who is trained in both boh and foh this i think would solve part of the we need to hire so many people while our growth right now is great in years if we have doubled staff numbers will we need all the specialized positions will we need staff if technology has eliminated some roles it s great we don t terminate but out of all the decisions we are expediting making fast i am super surprised that offering full time jobs is what we are saying is an emergency and our greatest need,2,13,53,54,,,,,,,13,53,54,,,,,,,
