NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10000338,Flexibility in making decision based on the needs of the different markets,64,,,,,,,,,
10000340,REF,99,,,,,,,,,
10000342,facilities- we don't always have to do for all what needs to be done for one,98,,,,,,,,,
10000344,REF,99,,,,,,,,,
10000348,"Lower level decision making. Most everything ultimately needs EC approval.   Even decisions that are ""made"" at senior leadership levels can end up being reversed by the EC",34,70,,,,,,,,
10000349,"Trusting , but verifying and not relying on reputation or hearsay",28,,,,,,,,,
10000350,REF,99,,,,,,,,,
10000351,Avoid rolling out too many corporate initiative at the same time.,98,,,,,,,,,
10000352,Vendors like CWT,98,,,,,,,,,
10000355,REF,99,,,,,,,,,
10000356,"Processes and procedures are frequently changed, maybe unnecessarily.",98,,,,,,,,,
10000357,REF,99,,,,,,,,,
10000358,REF,99,,,,,,,,,
10000359,"Give more decision making power to the field. Allow regions to determine the breadth and scope of work for Operators with facilities, equipment and reinvestment. The longer we treat Operators as numbers, data and restaurant numbers the more distance we get between Operators and Inc. Not one Operator runs their business like another. We are in business with unique individuals. We need to do the hard work of evaluating situations and then deciding where they rank in priority. The field has major capacity to do this. Priority of resources gets set either way we just need to be more effective with it.",36,41,40,53,58,54,22,,,
10000360,REF,99,,,,,,,,,
10000361,REF,99,,,,,,,,,
10000365,"Talent decisions are too political.  Not based on quality of work, but on who's been slated to move up the ladder.",2,,,,,,,,,
10000366,REF,99,,,,,,,,,
10000368,REF,99,,,,,,,,,
10000369,Pricing,98,,,,,,,,,
10000370,REF,99,,,,,,,,,
10000371,We tend to gather insight from a small segment of Operators who may not reflect the realties of the broader audience.  Executives in our company do this often with the reliance on older relationships versus intentional to hear from a broader audience of Operators and internal stakeholders.,53,,,,,,,,,
10000372,"Benefits  Technology - The phone benefit doesn't feel like much of a benefit anymore. Someone decided we have to pay a large chunk of money for our phones (which is fine) but when we upgrade we aren't allowed to keep our current phone. It's really hard to justify an upgrade anymore. The Daycare was HUGE for my family. Now it doesn't really make sense to utilize the facility since I'm not working onsite very much. Instead I'm paying a small fortune for a local daycare. I really appreciated the family care credit, and my budget has taken a big hit since it went away.  Please don't hear me say I'm not grateful. I'm forever thankful for CFA and the Cathy family.",6,20,,,,,,,,
10000374,REF,99,,,,,,,,,
10000375,How internal candidate job interviews (movement around the organization) are handled.,2,,,,,,,,,
10000377,Solutions to reduce complexity,39,,,,,,,,,
10000378,REF,99,,,,,,,,,
10000380,REF,99,,,,,,,,,
10000384,"In the tension of brand consistency versus individualism, we built this brand on trusting Operators.  They were Truett?s friends.  For life.  We have to trust they?ll tell us what they need or don?t need to best serve their communities.  Be it playgrounds, or dining rooms, or innovative solutions, they know what they need but need us to support them quicker.",66,53,28,,,,,,,
10000387,Upward feedback,98,,,,,,,,,
10000388,People decisions at corporate center. We're giving people too much too soon. Others are really working hard to make up for their supervisors. No one wants to say anything.,98,,,,,,,,,
10000389,"Erosion of culture -- ""Flexible Workplace"" will on continue to damage culture",7,64,,,,,,,,
10000390,Menu simplification,10,,,,,,,,,
10000391,"In Operations, we've moved towards Operator Support NOW and it feels as if we're testing our way into what is right. That is totally understandable, but when we talk about strategies & tactics within our AST it's difficult to do many of the things we talk about without financial resources at the AST level.",53,,,,,,,,,
10000392,Speed of Budget Allocations. Budget needs to live in Operations for Work and have visibility to ASTs or Ops Teams.,13,,,,,,,,,
10000393,REF,99,,,,,,,,,
10000394,REF,99,,,,,,,,,
10000395,REF,99,,,,,,,,,
10000397,REF,99,,,,,,,,,
10000398,"Decisions are relatively easy.  It's ""buy-in"" that takes work.  Creating Operator buy-in (e.g., acceptance of the decisions) sometimes requires a less efficient decision-making process. It might even require settling for the 2nd best idea.  Too many folks prefer the less messy approach and would rather INFORM the Operator than LISTEN to the Operator.",53,,,,,,,,,
10000399,Menu,10,,,,,,,,,
10000400,How we approach Market Ecosystems,21,,,,,,,,,
10000401,REF,99,,,,,,,,,
10000403,REF,99,,,,,,,,,
10000404,REF,99,,,,,,,,,
10000405,Real Estate Location Strategy,98,,,,,,,,,
10000406,REF,99,,,,,,,,,
10000407,REF,99,,,,,,,,,
10000408,REF,99,,,,,,,,,
10000409,"Promotions.  All of our leaders used to have so much history with CFA that the culture was protected and lived out. Now, many of our leaders are hired in and are newer to CFA and don?t bring the same commitment to our culture. We are also promoting workaholics who do not set a good example regarding maintaining a healthy holistic life balance. No wonder ?personal health? is such a big area of opportunity right now.",3,7,70,,,,,,,
10000415,REF,99,,,,,,,,,
10000416,REF,99,,,,,,,,,
10000417,Staff wide decisions that impact Field facing staff differently from office based staff. Recognizing the difference specifically related to travel/Covid/requirements that make being in the field more challenging. We are a restaurant company that needs people in the field. If we make this organization 'corporate' then we will lose the people that really can support & represent operators.,53,72,,,,,,,,
10000420,"Some partnerships - Although our decision making/resourcing in this volatile environment has improved per my previous conversation, some of our dedication to partnerships that clearly and pervasively do not meet our needs is alarming. An example is our partnership with our travel agent. It is highly likely that any field-facing, high travel support center staff would tell you that our agent complicates our travel experience vs. improves it. There are many details and experiences that I could share, but this is just one example.",33,,,,,,,,,
10000421,More transparency on how staff can get more shares for compensation.,19,20,,,,,,,,
10000422,"More consistency across Regions/Markets in MRO selection criteria, qualifying distance/impact requirements, etc.",61,,,,,,,,,
10000423,Internal selection process - it?s the most dishonoring thing that has every happened to me in my entire career.,3,,,,,,,,,
10000424,Area Support Teams - who does what... decision making is still not clear as a whole in terms of how these teams can impact the business,12,,,,,,,,,
10000426,Transparency on new/open roles. Why are all open roles regardless of level not posted? I see this as a conflict with our DE&I strategic bet.,9,19,,,,,,,,
10000427,REF,99,,,,,,,,,
10000429,Push more decisions closer to front line of action,41,,,,,,,,,
10000430,Being nimble in the current year for the current year to serve Operators,53,,,,,,,,,
10000431,More collaboration around reinvestment/ realestate timing,98,,,,,,,,,
10000433,"We take too long to help Operators, especially around the menu and reducing complexity in the business.",39,10,53,,,,,,,
10000437,REF,99,,,,,,,,,
10000440,REF,99,,,,,,,,,
10000441,REF,99,,,,,,,,,
10000442,Decisions regarding communications to Operators. it's not what was said but how it is said. Obviously during times of high stress this is wildly more important.,53,8,,,,,,,,
10000444,How they evaluate leaders.  To my knowledge there are no 360 evaluations.  Leaders evaluate staff or those that report to them.  Some people are great at leading up and laterally but have blind spots when leading those that report to them.  Why has Chick-fil-A been slow to move forward with 360 degree evaluations?  Seems an obvious way to protect our culture especially as we grow faster and bigger.,54,70,7,,,,,,,
10000445,REF,99,,,,,,,,,
10000446,REF,99,,,,,,,,,
10000448,REF,99,,,,,,,,,
10000449,REF,99,,,,,,,,,
10000450,"Decisions need to be pushed closer to the work and feel less parental in management .  We have many staff that are in people leader positions that have hardly any say so in who we hire, who we promote and move forward.  Also, we preach to Operators about empowerment of team members and many times, people leaders from the director level  down here do not feel empowered to make decisions.",53,41,70,22,,,,,,
10000451,REF,99,,,,,,,,,
10000453,Promotions.,3,,,,,,,,,
10000454,REF,99,,,,,,,,,
10000456,REF,99,,,,,,,,,
10000457,REF,99,,,,,,,,,
10000458,REF,99,,,,,,,,,
10000459,REF,99,,,,,,,,,
10000460,Balancing Care with Accountability. We have a multi-billion dollar business to run and if we have people on our team that are not doing there job then we need to be able to hold them accountable without all of the paperwork and time it takes to do any type of disciplinary action.,98,,,,,,,,,
10000461,REF,99,,,,,,,,,
10000462,REF,99,,,,,,,,,
10000463,This is a general statement: sometimes it feels that many CFA decisions are more reactive than proactive.,98,,,,,,,,,
10000464,Candidate discussions by interviewers need improvement.  Inappropriate conversations are had that do not relate to the role.,2,,,,,,,,,
10000465,The requirement to attend NEXT.  It is more focused on optics than employee safety.,98,,,,,,,,,
10000466,REF,99,,,,,,,,,
10000468,REF,99,,,,,,,,,
10000476,evaluation of work or people leadership,70,,,,,,,,,
10000479,REF,99,,,,,,,,,
10000480,REF,99,,,,,,,,,
10000481,REF,99,,,,,,,,,
10000482,Decisions that are more objective and not relationship based.,98,,,,,,,,,
10000485,Communication decisions. Communicate quickly and consistently regarding external factors facing the company.,8,13,61,,,,,,,
10000486,n/a,99,,,,,,,,,
10000487,"In the area of New Restaurant Growth, we oftentimes push opening Restaurants to ""meet plan,"" while not considering the adverse effects on customers and our own staff in order to make it happen. We need to understand better how our jobs are intertwined and the stress one department's goals can cause other areas of the business.",54,53,,,,,,,,
10000488,REF,99,,,,,,,,,
10000489,"Termination decisions regarding Operators.  Some Operators are completely disengaged from their business and it's clear in their restaurants.  Sometimes, Ops Leads are now informed or equipped to identify and address these issues.  It's demoralizing to other Operators and to staff who have to clean up the mess.",53,,,,,,,,,
10000490,We give a lot of grace.  We have a very hard time making difficult decisions when someone is underperforming.  There are too many times when people are shuffled around the organization when they are not able to perform.,98,,,,,,,,,
10000491,Staff Selection,98,,,,,,,,,
10000494,REF,99,,,,,,,,,
10000496,REF,99,,,,,,,,,
10000497,Pay scale - has a lot of inequities - based on internal biases,20,,,,,,,,,
10000498,Communication channels,8,,,,,,,,,
10000500,Operator decisions - Not many but some are very clear poor decisions (specifically for existing Operators either relocating or being selected for Multi-Unit),53,,,,,,,,,
10000503,REF,99,,,,,,,,,
10000505,REF,99,,,,,,,,,
10000506,Performance Accountability,27,,,,,,,,,
10000508,N/A,99,,,,,,,,,
10000510,Internal Job Opportunities - There's a portal in place but even if you're qualified your current people leader can block a move.,98,,,,,,,,,
10000511,Pushing decisions and budgets to regional teams to respond quicker to operational needs in restaurants,53,13,41,,,,,,,
10000515,"Again, change is great, but there are too many technology changes happening at the same time - almost every month.  That can take way too much time out of our lives - learning how to do new expenses, new invoices, and training Leaders and Teams on those changes.",17,6,,,,,,,,
10000520,REF,99,,,,,,,,,
10000521,"Decisions are often held up at the highest level and often changed from leadership even if they approve something early, they often come in and change their decision later in the timeline not always for changing business needs but they have changed their opinion. The type of decisions leadership gets in on many times is too granular.  Most of the the time the leader isn't the SME and trumps the decision of the SME and they should be trusting their people. Leadership should be pressure testing and challenging but at CFA leaders make most of the decisions.  When people are assigned as the owning the decision, they often are just waiting for someone to come in a change it - it is almost expected for something to change than not to change. It feels like no one owns decisions unless they are officers or above. And Officers are often 4/5 layers away from the work that they are making decisions on.  They might have done that work 10 years ago but there are people doing that work now, that we hired to do that work, let them do the work and leadership should want to make their work better, not harder. I don't often think that is the frame our leaders are using.",35,32,70,34,71,,,,,
10000522,"Some of the individuals that have received leadership opportunities on the staff side over the past few years have been very surprising. The ones I am thinking of have nothing to do with my work/department, but some of the moves I have seen have been very surprising to me based on my past interactions and work with some people, and I have heard more about this from other people over the past few years than I ever heard in my entire time at Chick-fil-A. My concern is two-fold: 1) that some of the people leading other people and/or work are not the best people for the job, which could result in outcomes that are not as good as what could be, and 2) that some high-performing staff members will become discouraged/disgruntled/disillusioned over time and lose focus or reduce their efforts.",70,,,,,,,,,
10000523,"2. Change is inevitable, but we have to be cautious about diluting our corporate culture. The forces outside of Chick-fil-A cannot be ignored, but we might have gone too far to highlight our individual differences versus our similarities. The Corporate Purpose is and should be as strong today as the day it was created.",7,,,,,,,,,
10000524,People decisions related to under performance,27,,,,,,,,,
10000525,REF,99,,,,,,,,,
10000526,Not clear roles and responsibilities,12,,,,,,,,,
10000527,Decision Making - We are still navigating what decisions can be made in departments and which ones need to be pushed up to leadership.  Decision making process are incredibly confusing and are so much based on influence at times as opposed to principled business decisions.,52,70,41,,,,,,,
10000528,REF,99,,,,,,,,,
10000529,"With limited resources, I think there are decisions that lead others to question what the focus and priority of the larger business is today and into the future. It feels like a decision is made in a siloed discussion without a full understanding of the ramifications. One example right now is the strategic bet to accelerate growth. I understand that decision and in many ways support it, but the strain it will create on the systems, people, and processes necessary to execute this growth at the restaurant level have never been more strained than they are currently. How can we accelerate growth well given those present day constraints?",9,54,4,63,,,,,,
10000530,Chick-fil-A needs to improve on having a global mindset - both with communication and decision-making.,8,,,,,,,,,
10000531,"Menu decisions, particularly spending money and effort on ""healthy"" options that don't sell.",10,,,,,,,,,
10000532,"We hire food people, let them do their work and not micro-manage",98,,,,,,,,,
10000533,"Having the right team lead decisions surrounding strategic moves, specifically new country entry.",98,,,,,,,,,
10000535,Worrying about the judgement that will be received by taking a stance.,98,,,,,,,,,
10000536,REF,99,,,,,,,,,
10000537,Communication amoung various departments.,52,8,,,,,,,,
10000539,Decisions concerning the changes on file retention - example retirement of the h drive.,98,,,,,,,,,
10000540,doing what the few loud voices request and not considering the majority of staff,15,,,,,,,,,
10000541,REF,99,,,,,,,,,
10000542,REF,99,,,,,,,,,
10000543,REF,99,,,,,,,,,
10000544,people decisions--talent acquisition is broken and beyond repair and I have no confidence that hiring managers get to see the best candidates; there is no accountability for people who fail to do their job and it's getting worse,2,,,,,,,,,
10000545,Technology - too many people get involved or fear their voice has not been heard. We should let the experts make the call after getting the input they need. We could benefit from a RACI or RAPID to ensure all appropriate voices are heard.,15,6,13,,,,,,,
10000546,Sun setting work?.we have a hard time letting go of things that may not be relevant in the current state?.,98,,,,,,,,,
10000547,We tend to assign arbitrary deadlines to projects which makes for some interesting trade-off decisions.  Often the downstream impact creates a whole bunch of additional work that could have been avoided if further contemplation was done on the front-end.,98,,,,,,,,,
10000548,Wider/deeper view into enterprise risks associated with seemingly more isolated decisions,98,,,,,,,,,
10000549,"One whole class of decision making that feels greatly lacking is how we think about whose problem it is to solve. We take even the most strategic, organization-wide opportunities, and then functionally assign ownership to one group. We take a problem like Market Ecosystem that is fundamentally an organization-wide opportunity, give it to someone with a great breadth of relationships and experience across many departments, then put ownership all in RD. When the resulting product focuses largely on new store growth and reinvestment, we shouldn't be surprised. Making up for non-enterprise wide work structure by expecting people to relationally overcome that is not setting people up for success, nor the best way to approach ensuring enterprise-wide aligned strategies.",17,21,54,52,,,,,,
10000550,"Shift from operational focus to full lifecycle.  For example, problems are solved operationally, but impact and considerations such as data are after thoughts.",4,,,,,,,,,
10000552,"Pushing decision-making down as far as is reasonably possible - tactical decisions don't need to be made by strategic thought leaders, but by subject matter experts in the relevant field",41,,,,,,,,,
10000553,REF,99,,,,,,,,,
10000554,How do we work together better as as teams across our shared mission (Advancing Market Ecosystems)? this also extends to decisions that go across multiple deparments,21,,,,,,,,,
10000555,REF,99,,,,,,,,,
10000556,"Decisions as it deals with Transformation & Process Improvement. We have a huge opportunity with better defining succession strategies and refining processes across the business, which have been deprioritized or have not received enough resources to make the lasting impact needed.",98,,,,,,,,,
10000557,Who and how to hire. There is so much unfilled headcount standing in the way of us realizing our priorities.,2,4,,,,,,,,
10000558,REF,99,,,,,,,,,
10000560,REF,99,,,,,,,,,
10000561,2 days for each of christmas and thanksgiving holidays,98,,,,,,,,,
10000563,"There are many projects that are cross collaborative in nature, but we are organized in silos. We need more flexibility in team and organizational structure to build alignment, gather insights, get a holistic perspective, and execute projects with high quality in an integral manner. There are many instances where vertical organization would be a lot more effective than horizontal.",5,64,63,,,,,,,
10000564,More options for non-people leader progression.,70,3,,,,,,,,
10000565,Yearly/quarterly planning,98,,,,,,,,,
10000566,REF,99,,,,,,,,,
10000567,Risk aversion,98,,,,,,,,,
10000568,"As I'm new, much of my time spent is in Degreed and Learning Pathways. These are very valuable and offer much insight. I've also been asking many seasoned staff about what I should focus on during my first year and many have said to not worry about tools and technology so much and offered advice to get to know people and build relationships, even ones outside of my department. I've been doing that, spending time in both Degreed and meeting with people, which I've been thoroughly enjoying. However, I've heard from many people who say that after about a year, they don't have any time for things like that. I wonder if there's a way to encourage and promote people to carve out margin in their schedules so that they don't lose the ability for things like this once people get overwhelmed with the work.",6,,,,,,,,,
10000570,REF,99,,,,,,,,,
10000571,Collaboration on work - all parties effected need to be part of discussions/decision making,98,,,,,,,,,
10000572,REF,99,,,,,,,,,
10000575,REF,99,,,,,,,,,
10000576,REF,99,,,,,,,,,
10000577,We should do a better job of enforcing established rules.  We shouldn't ask staff to wear masks and then see executives walking around the support center without them.,72,,,,,,,,,
10000578,"Who works on what, both from a project level perspective but also among departments. Role clarity.",5,52,71,,,,,,,
10000579,We are growing too fast and at times it feels uncontrollably. This is putting a lot of stress in the workforce and families.,54,13,,,,,,,,
10000580,Decisions where there is clear dissent - we need to get better at making the decision and moving on rather than dwelling on those that may not agree.,12,,,,,,,,,
10000581,Planning for international growth,54,31,,,,,,,,
10000582,Alignment decisions,18,,,,,,,,,
10000584,"The restrictions imparted on staff are ridiculous regarding COVID.  No science to support masks and we do it anyway...which is pure theatrics.  We do not recognize natural immunity we continually ignore the studies relative to heard immunity...etc.   We were told the business would not make decisions based on ""fear.""  However, that is what it appears.",72,,,,,,,,,
10000588,REF,99,,,,,,,,,
10000595,We are starting to follow the outside examples instead of being the trend setters especially when it comes to HR policy.  I understand their are legal requirements we must meet but it seems like programs are cut and paste from other companies playbooks instead of looking at it from a CFA point of view,98,,,,,,,,,
10000599,REF,99,,,,,,,,,
10000600,REF,99,,,,,,,,,
10000602,REF,99,,,,,,,,,
10000603,"Having worked outside of Chick-fil-A for many years, I believe an area that can be improved upon here is with expectation setting and accountability.  There is a growing perceptions and sense of entitlement being observed within the Operator community that is leading to concerning expectations on how the Support Center is expected to support them.  Further, when Operators cross lines where they treat Staff with a lack of honor, dignity and respect they are not held accountable. On the flip side, when there is a perceived deficiency in the level of service from the Support Center to Operators (example: answering phones/returning call), the issue is not addressed at the root cause.  Instead, a broad brush is used to suggest all Staff is a fault and that we should all strive to do better.  My encouragement to our leadership is to not have fear in setting appropriate and clear expectations then being fair and reasonable, yet judicious, in holding people accountable to those expectations.",53,12,,,,,,,,
10000604,REF,99,,,,,,,,,
10000605,REF,99,,,,,,,,,
10000606,REF,99,,,,,,,,,
10000607,REF,99,,,,,,,,,
10000608,Drawing the line between helping Operators and enabling bad behaviors (Operators using the excuse that they do not need to do X because they are a CFA Operator and above said task),53,,,,,,,,,
10000609,"Operator Selection - There seems to be an overwhelming amount of entitlement in many of the Operators we select currently, especially the young ones. Some of the stories floating around and witnessed of how Operators treat/view staff are appalling. But this message never gets told. Instead, its always about what Staff need to do better. The majority of Staff I know work their fingers raw for this brand and every year we hear the same thing - you need to do better. It's disheartening that nobody leans into the other side of this equation",53,,,,,,,,,
10000610,"Chick-fil-A could improve decisions that impact Staff. It seems as though we take an ultra conservative approach as to not offend or disrupt anyone's work, but in reality, the majority of Staff has an opinion and faith-based approach that is different that the general public. Truett was not afraid to make the ""unpopular"" decisions because of his faith. Where has that gone?",98,,,,,,,,,
10000612,REF,99,,,,,,,,,
10000613,unsure,98,,,,,,,,,
10000614,"Job growth discussions are difficult.  Especially for my people leader, who has the best intentions for me, which I absolutely believe those intentions, but understanding what I need to do next is very difficult to understand.",54,43,,,,,,,,
10000615,REF,99,,,,,,,,,
10000616,REF,99,,,,,,,,,
10000617,People decisions- leveling is not working,57,,,,,,,,,
10000620,Matching time resources to expectation of work volume,98,,,,,,,,,
10000621,REF,99,,,,,,,,,
10000623,REF,99,,,,,,,,,
10000624,Decisions that cross over multiple departments or even multiple businesses.  Sometimes decision makers are unaware of the bigger picture and needs to execute.,52,,,,,,,,,
10000625,REF,99,,,,,,,,,
10000627,REF,99,,,,,,,,,
10000628,Our decisions are long.  We are so fearful of mistakes that it takes every decision to go though so many hoops that it feels very long and drawn out.,98,,,,,,,,,
10000629,REF,99,,,,,,,,,
10000630,REF,99,,,,,,,,,
10000631,REF,99,,,,,,,,,
10000632,Decisions where not all downstream stakeholders are consulted or represented upfront.,98,,,,,,,,,
10000633,REF,99,,,,,,,,,
10000634,REF,99,,,,,,,,,
10000635,REF,99,,,,,,,,,
10000637,REF,99,,,,,,,,,
10000638,REF,99,,,,,,,,,
10000639,REF,99,,,,,,,,,
10000641,Promotion process,3,,,,,,,,,
10000643,REF,99,,,,,,,,,
10000645,REF,99,,,,,,,,,
10000646,REF,99,,,,,,,,,
10000647,REF,99,,,,,,,,,
10000650,"In an effort to please all angles of political arguments, CFA has really leaned into the woke corporate culture, at a detriment to its most loyal Raving Fans. I'm concerned about the direction we as a brand are moving in.",7,45,,,,,,,,
10000653,REF,99,,,,,,,,,
10000655,"People are stretched so thin, they take a while to make decisions while gathering the right input",98,,,,,,,,,
10000656,REF,99,,,,,,,,,
10000659,REF,99,,,,,,,,,
10000660,"Unintentionally making decisions that outwardly reflect poorly on an employee's performance despite that employee not being the reason for the change.  Ex: employee generates an idea and begins working on it, only to have it passed on to someone else without the employee knowing until after the decision has been made.  It may just be that the employee was needed for another project, but they don't really get the credit for the work that they started.  The next person gets all the credit because the fruit of the original employee's work is finally in a stage that can be visibly seen.",27,,,,,,,,,
10000662,REF,99,,,,,,,,,
10000665,Allocating enough resources to implement and complete departmental reorganizations,52,5,,,,,,,,
10000666,REF,99,,,,,,,,,
10000667,Ensuring Company-Wide Messaging is consistently applied across departments.  Often it feels as though messaging goes through a game of telephone from the Executive group to lower level staff.  Some pieces of the message get applied but often differently than another group.,61,,,,,,,,,
10000668,The Corprorate/ Adiminstartive culture fight change and does not share information or knowedge.,7,,,,,,,,,
10000670,REF,99,,,,,,,,,
10000671,REF,99,,,,,,,,,
10000672,Thinking through the downstream impacts of various decisions and ensuring all stakeholders are considered.,98,,,,,,,,,
10000674,What the shifting of complexity from restaurants to staff will impact.,39,53,,,,,,,,
10000675,"Simply making a decision and following through on it. Often times we don't make a decision at all so we just keep doing what we have been doing up to that point.  Or at the first sign of trouble or concern we revert back to the ""old way"" of doing things because this was the ""wrong"" decision",98,,,,,,,,,
10000677,Doing more market research and competitor analysis around our shared challenge on advancing market ecosystems,21,,,,,,,,,
10000678,REF,99,,,,,,,,,
10000679,Short-term strategic decisions,98,,,,,,,,,
10000681,REF,99,,,,,,,,,
10000682,"Chick-fil-A needs to improve at decisions where there are multiple good/acceptable options (i.e., Chick-fil-A sometimes hesitates unnecessarily at trying to make the ""perfect"" decision when there are multiple ""good"" options to choose from which will all get the job done).",98,,,,,,,,,
10000683,REF,99,,,,,,,,,
10000684,"Decisions on how we work. We either need corner stones, and no days, or a day minimum in the office for work, but having both/neither is very confusing and leads to inconsistency in application and confusion of what is expected. Is it results, is it relationships? Does sitting at 5200 make my productive output better or worse, or is relationship building something that is measured with productive output too?",61,,,,,,,,,
10000685,REF,99,,,,,,,,,
10000686,REF,99,,,,,,,,,
10000688,REF,99,,,,,,,,,
10000689,How to provide employees options for receiving more pay or other benefits if they opt out of the health insurance benefits.,20,,,,,,,,,
10000690,Decisions involving leadership changes could be communicated sooner.,70,8,,,,,,,,
10000692,"Understanding the impact of new initiatives on various teams - e.g. the roll out of new, complex initiatives weighs down teams that are already at full capacity. Often the teams that are impacted have no input or say into the decisions but have to take on the additional work regardless.",39,58,54,,,,,,,
10000693,REF,99,,,,,,,,,
10000694,REF,99,,,,,,,,,
10000696,REF,99,,,,,,,,,
10000698,REF,99,,,,,,,,,
10000701,"Long term visions for the company.  This may be more of a request than a ""needs improvement"" comment.  I would like to know how big a footprint we are looking to have over the next 5-10 years; both internationally and domestically.",31,,,,,,,,,
10000703,N/A,99,,,,,,,,,
10000706,REF,99,,,,,,,,,
10000707,"Leadership promotion. Not everyone is fit to lead a team. There needs to be a balance between people/interpersonal skills and technical skills. Having too much of one or the other, does not a great leader make. How can one make decisions and attempt to advocate on my behalf if they don't truly understand my work?",3,70,,,,,,,,
10000708,REF,99,,,,,,,,,
10000709,REF,99,,,,,,,,,
10000710,"DE&I in hiring/promotions - it is very obvious that DE&I has not been top of mind for the past few years within CFA. Even after this last year, I do not see things changing right away. Tax leadership is often silent when it comes to DE&I discussions. It is also discouraging to look at the org chart for Tax Leadership.",3,70,69,,,,,,,
10000711,REF,99,,,,,,,,,
10000712,REF,99,,,,,,,,,
10000713,Take a good look at leadership and why there is no color diversity in some areas of the company.,70,69,,,,,,,,
10000714,Improving on having quicker hiring process and work with contractors to be more valuable.,33,13,,,,,,,,
10000716,REF,99,,,,,,,,,
10000718,I do no think there is anything need to improve at this point.,98,,,,,,,,,
10000719,REF,99,,,,,,,,,
10000720,Cannot think of an example.,98,,,,,,,,,
10000724,Chick-fil-A needs to improve upon the make-up of middle management and other top leaders.,70,,,,,,,,,
10000725,Diversity of thought when selecting leaders. Too often people with the strongest technical background are selected as leaders. These individuals sometimes do not have the soft skills to be a leader or ever develop into an effective one.,70,69,,,,,,,,
10000726,REF,99,,,,,,,,,
10000727,REF,99,,,,,,,,,
10000729,The Operator model needs to adapt and change to the increasing complexity of the business and resource constraint. What Truett envisioned service to Operators to be in the 1970s is not the same as it is in 2021. The Operators are leading multi million $ businesses with 50+ team members.  They can handle some of the business/non chicken requirements of the business like various accounting services.,39,53,,,,,,,,
10000733,Better people need to be hired,98,,,,,,,,,
10000734,Choosing to let poor performers  (in one way or another) stay on - there is no performance management for poor performers.,27,,,,,,,,,
10000736,REF,99,,,,,,,,,
10000737,Reorganization decisions.  I think reorganizations happen way to often and it's a culture killer when you have to learn and build a relationship with a new leader every couple of years.,7,5,,,,,,,,
10000741,REF,99,,,,,,,,,
10000743,"Decisions that ""must"" have input from a variety of people.  These are done too slowly.",13,15,,,,,,,,
10000744,Trade-off Decisions (doing this and not that),98,,,,,,,,,
10000745,"Promotion for lower levels - trust people leaders, waste of resources to ""convince"" Total Rewards.  Total Rewards not consistent in talk versus action.  For example, skipping levels, inconsistent levels between departments, inconsistent application of level requirements.",23,3,28,61,,,,,,
10000746,REF,99,,,,,,,,,
10000748,REF,99,,,,,,,,,
10000749,REF,99,,,,,,,,,
10000750,REF,99,,,,,,,,,
10000751,REF,99,,,,,,,,,
10000752,REF,99,,,,,,,,,
10000753,Staff Facing (lack of coordination and understanding of downflow impacts),98,,,,,,,,,
10000754,"Chick-fil-A is not as unique as we make it out to be.  We too often accommodate special circumstances or accommodations instead of pushing for consistent decisions.  For example, ""This is a unique situation and we need to handle the situation in this manner.  It is 'one off.'""",61,,,,,,,,,
10000755,REF,99,,,,,,,,,
10000756,REF,99,,,,,,,,,
10000757,REF,99,,,,,,,,,
10000758,How can we focus on a balanced appreciation for results and relationships without overly focusing on surface-level characteristics?,98,,,,,,,,,
10000760,Sometimes decisions that help Operators and Restaurants are made very quickly and those supporting the work are left to figure it out in a tight timeframe.,53,13,,,,,,,,
10000761,"Explain org changes better, how they trickle down.",5,,,,,,,,,
10000763,REF,99,,,,,,,,,
10000764,COVID protocols,72,,,,,,,,,
10000765,REF,99,,,,,,,,,
10000766,REF,99,,,,,,,,,
10000768,Decisions on implementation time frames are at times unrealistic and place extreme demands on staff.,98,,,,,,,,,
10000769,Thinking as if we are still a small company.,98,,,,,,,,,
10000770,REF,99,,,,,,,,,
10000771,the ability for autonomy for lower down decisions. I feel like I am micromanaged when it comes to small things!,22,,,,,,,,,
10000772,Flexibility for unknown circumstances from the on-set and not months later.,64,,,,,,,,,
10000773,Contractual Agreements - speed from creation to execution,13,,,,,,,,,
10000774,Decisions that impact the organization as a whole (back to the office),98,,,,,,,,,
10000775,N/A,99,,,,,,,,,
10000776,REF,99,,,,,,,,,
10000778,REF,99,,,,,,,,,
10000779,REF,99,,,,,,,,,
10000780,REF,99,,,,,,,,,
10000781,REF,99,,,,,,,,,
10000782,REF,99,,,,,,,,,
10000786,REF,99,,,,,,,,,
10000787,?,99,,,,,,,,,
10000788,Hiring individuals that specialize in the new works we're rolling out as opposed to just shifting those that are already on staff based on the fact that they know the culture of CFA.,2,7,,,,,,,,
10000789,REF,99,,,,,,,,,
10000790,REF,99,,,,,,,,,
10000792,allowing jeans to be included in dress casual,11,,,,,,,,,
10000793,My department is lacking in strong leadership and direction.  There is so much work to be done that my people leader seems stuck and is too busy working on the work instead of leading me and my team mates to accomplish the work.,52,70,,,,,,,,
10000794,REF,99,,,,,,,,,
10000796,REF,99,,,,,,,,,
